id,proposition_id,answer_cluster_id,model_name,raw_response,parse_status,answered_cite_string,cite_resolved_real,name_match_score,run_id,answered_at
1,dc28c311fcf8a4da61515f479f9bcecd6458926319a30f9a9644c78d4373c9af,7100340,sonnet-4.6,"Sprewell v. Golden State Warriors, 266 F.3d 979 (9th Cir. 2001)",parsed,,1,,v1,2026-05-04T04:00:15Z
2,b8a6363c1c067004bf070fe4b819bcfb0f0db0e1414a67aa519241e56ec1e8cf,,sonnet-4.6,UNKNOWN,unknown,,0,,v1,2026-05-04T04:00:15Z
3,aef98c458b963b2bfe4a515d5d7eaa9c33ec8e9fda2bbb4e068f69d7bc7e429e,185315,sonnet-4.6,"United States v. Bowie, 232 F.3d 923 (D.C. Cir. 2000)",parsed,,1,,v1,2026-05-04T04:00:15Z
4,09f5f700949bcb2e4508f90cfa7066c2e55055d400f5488aae6abc191c8814be,,sonnet-4.6,UNKNOWN,unknown,,0,,v1,2026-05-04T04:00:15Z
5,00f9b8a70f7b50763b4d4ff949777aaffd452b7db8939e8b60ffea8a440437ae,109463,sonnet-4.6,"Mathews v. Diaz, 426 U.S. 67 (U.S. 1976)",parsed,,1,,v1,2026-05-04T04:00:15Z
6,601d5db4ac77514d131ba8889e10bd309e23fbde1fbb3efdc29626c0b9c4c450,,sonnet-4.6,UNKNOWN,unknown,,0,,v1,2026-05-04T04:00:15Z
7,aeb1b6a9febd1224637dd02896db5ec5e2a668eee259f2d613d44b8dafeaad8b,85777,sonnet-4.6,"*Grant v. Raymond*, 31 U.S. (6 Pet.) 218 (1832)",parsed,,1,,v1,2026-05-04T04:00:15Z
8,4b169832650f03aeb92a6b4c4df23e0076b464ffd116d1a3c63cde2016fa735d,595550,sonnet-4.6,"Gaus v. Miles, Inc., 980 F.2d 564 (9th Cir. 1992)",parsed,,1,,v1,2026-05-04T04:00:15Z
9,2c14da4c5beb94e76807444b20ea37087233f0d96423ed4bcca634603cac7fb2,,sonnet-4.6,UNKNOWN,unknown,,0,,v1,2026-05-04T04:00:15Z
10,5be0f71658a863776c09a9352ab65f3faa0712efd44ffe5e0bf50eb7e5aca28c,,sonnet-4.6,UNKNOWN,unknown,,0,,v1,2026-05-04T04:00:15Z
11,641c893ecc19d1b7c9e5836010badbffe00fa7aeba3d087cc572361e716aaa9b,108288,sonnet-4.6,"Durham v. United States, 401 U.S. 481 (1971)",parsed,,1,,v1,2026-05-04T04:00:15Z
12,ac9469eaa09071ce1369c876477189c441b8398893efca62d9c5d36a66846e35,,sonnet-4.6,UNKNOWN,unknown,,0,,v1,2026-05-04T04:00:15Z
13,f8c71c283aaf3e68f6b38f9796bab41c58669ae69e1d0c7f002f2885e32d61a2,,sonnet-4.6,UNKNOWN,unknown,,0,,v1,2026-05-04T04:00:15Z
14,900131fb078ec33eb28a8c3c1e6733be1374ba37c0c49702026dbd7a070d012f,8955143,sonnet-4.6,"In re Bevill, Bresler & Schulman Asset Management Corp., 805 F.2d 120 (3d Cir. 1986)",parsed,,1,,v1,2026-05-04T04:00:15Z
15,9194dd244d911a173ca5f3f3007cc599742802d9a46286539f98fa50ce114d62,110715,sonnet-4.6,"Insurance Corp. of Ireland v. Compagnie des Bauxites de Guinee, 456 U.S. 694 (U.S. 1982)",parsed,,1,,v1,2026-05-04T04:00:15Z
16,e21ce2f2a7095a6be208a975397fe5963e1025a2f0812f8111f3102a463db027,,sonnet-4.6,UNKNOWN,unknown,,0,,v1,2026-05-04T04:00:15Z
17,940d760edbb5ff5fe18a230aad87c57034d95558caebaf214035abf01cfc86c0,,sonnet-4.6,UNKNOWN,unknown,,0,,v1,2026-05-04T04:00:15Z
18,353ddbd10ff4829684f160d2896cd251fb6f80bbd4eb6a92d2158592c73eb5d6,,sonnet-4.6,UNKNOWN,unknown,,0,,v1,2026-05-04T04:00:15Z
19,e411eb2fa437af22c49cfdc878b51565d40b87d9c8025f0ba44df6c96a0fd4b0,145922,sonnet-4.6,"United States v. Leon, 468 U.S. 897 (U.S. 1984)",parsed,,1,,v1,2026-05-04T04:00:15Z
20,b3bc7cdf667d0868bb79bb02293c74307785e14a9cbbd4e9cf9b01a3eca47a12,,sonnet-4.6,UNKNOWN,unknown,,0,,v1,2026-05-04T04:00:15Z
21,acf2d050be85e30c8a265b6ac46a6bf8a9f3253f3aca13798721518f2455ef9e,,sonnet-4.6,UNKNOWN,unknown,,0,,v1,2026-05-04T04:00:15Z
22,c39576376bd499c3aedc48c82ff46036f3ee5ddb31e359fc5e5b7dc7953f3ab0,111863,sonnet-4.6,"Tison v. Arizona, 481 U.S. 137 (U.S. 1987)",parsed,,1,,v1,2026-05-04T04:00:15Z
23,9653bbe40e0a8031fb6b667f2d0970cf435a4466fd4ea3dfd1879fbf0c05c2b4,367193,sonnet-4.6,"Poplar Grove Planting & Refining Co. v. Bache Halsey Stuart, Inc., 600 F.2d 1189 (5th Cir. 1979)",parsed,,1,,v1,2026-05-04T04:00:15Z
24,0fe77db256520d14bd1b90fd69f66c9c49271224900c7d47cffbd4b793119e2b,,sonnet-4.6,UNKNOWN,unknown,,0,,v1,2026-05-04T04:00:15Z
25,87f60a2cd2c7bf86f41e3886dfdfe511dc409f995b29f75870cc0bdd89486578,110330,sonnet-4.6,"Dawson Chemical Co. v. Rohm & Haas Co., 448 U.S. 176 (U.S. 1980)",parsed,,1,,v1,2026-05-04T04:00:15Z
26,000568bbc077d1e3f6aba5730a5c1c398d63825eb3a1f42b92a3941c5146538f,,sonnet-4.6,UNKNOWN,unknown,,0,,v1,2026-05-04T04:00:15Z
27,e56c8d2d47d6385240bc80db96eea7c3d2206489f9f95472a0cc15a8a1feef94,145814,sonnet-4.6,"Virginia v. Moore, 553 U.S. 164 (U.S. 2008)",parsed,,1,,v1,2026-05-04T04:00:15Z
28,1ec3a31457dd371ea7a189b80b2ccb939a5ae0581ba831e8f8b8c54336ea9788,8443303,sonnet-4.6,UNKNOWN,parsed,,1,,v1,2026-05-04T04:00:15Z
29,f1a0639fc050d29a84185593300100b30aae65cd16a150609e7f71d912b12c77,8824721,sonnet-4.6,"Ragansky v. United States, 253 F. 643 (7th Cir. 1918)",parsed,,1,,v1,2026-05-04T04:00:15Z
30,592ca7fac83e697f27332b66bfcbc642896276b170d0ecf55faeebc01dd7702b,,sonnet-4.6,UNKNOWN,unknown,,0,,v1,2026-05-04T04:00:15Z
31,298a16b6a93d917dc43063d73f2794fa551983d7d46e2ef822abf94b19bca679,118074,sonnet-4.6,"Old Chief v. United States, 519 U.S. 172 (1997)",parsed,,1,,v1,2026-05-04T04:00:15Z
32,f961ab2b1cc8dde0b17607945d1fe5001afcabd17b2778a66319c79bd4bc3c8d,,sonnet-4.6,UNKNOWN,unknown,,0,,v1,2026-05-04T04:00:15Z
33,b39aa6b4d7fc3d4ff232df540df322444a3cb39f1251d34723f6706a12615672,145875,sonnet-4.6,"Ashcroft v. Iqbal, 556 U.S. 662 (S. Ct. 2009)",parsed,,1,,v1,2026-05-04T04:00:15Z
34,8de4872a33c8753979008a26ea24b89460b517016cce1efa210330d4953529b9,109042,sonnet-4.6,"Blackledge v. Perry, 417 U.S. 21 (U.S. 1974)",parsed,,1,,v1,2026-05-04T04:00:15Z
35,fea6a051c4c7878aff74ef45b31295ef549453b700b729a34574a80eb598280e,10600092,sonnet-4.6,"Smith v. Spizzirri, 601 U.S. 472 (U.S. 2024)",parsed,,1,,v1,2026-05-04T04:00:15Z
36,07db92df19e9d3e32e8c915f72455ba99e244692a23b05681c73f5cfcfc93f1e,,sonnet-4.6,UNKNOWN,unknown,,0,,v1,2026-05-04T04:00:15Z
37,0f80531300bb53d210bd372d4d70ab848d63d1caf6edd4f52ad8fa2a6adbc7d4,145756,sonnet-4.6,"Wallace v. Kato, 549 U.S. 384 (2006)",parsed,,1,,v1,2026-05-04T04:00:15Z
38,f2094939afa4e597c43994356c85e6d68777cbdb0ee300bcca73f42cf3fe0115,,sonnet-4.6,UNKNOWN,unknown,,0,,v1,2026-05-04T04:00:15Z
39,8c9017fa14616cccf85149b3a1e55ebec0215546fc62a504a81e98b627bcbee2,,sonnet-4.6,UNKNOWN,unknown,,0,,v1,2026-05-04T04:00:15Z
40,ab1c62bbd040495d3a5d02f28c28b97aa3d6a452cd6f9f9bbbf6ccc0f0e1e1ec,145928,sonnet-4.6,"Winter v. Natural Resources Defense Council, 555 U.S. 7 (U.S. 2008)",parsed,,1,,v1,2026-05-04T04:00:15Z
41,93cc446d86727e4d3cddb425f36a6bfcec24950e8eff4308ce71649528edefaa,,sonnet-4.6,UNKNOWN,unknown,,0,,v1,2026-05-04T04:00:15Z
42,f442bc5d1b0fd755b5e77fd5a510ed612132c6ba7307bebd54678c11e54012fb,,sonnet-4.6,UNKNOWN,unknown,,0,,v1,2026-05-04T04:00:15Z
43,9619a474e9102248315423cd47457905775d02ff7abf55e4bc15666ab5992ce2,613266,sonnet-4.6,"Cervantes v. Countrywide Home Loans, Inc., 656 F.3d 1034 (9th Cir. 2011)",parsed,,0,,v1,2026-05-04T04:00:15Z
44,bd63056ef2111c1f24dcfcd70335495cebf8f1ef03777545d11efffb3a15109f,1323423,sonnet-4.6,"Lukovsky v. City & County of San Francisco, 535 F.3d 1044 (9th Cir. 2008)",parsed,,1,,v1,2026-05-04T04:00:15Z
45,59e56aa9f94bca8b75a59c1099066e7620a6a89d17b017988074ed7831ced450,8440877,sonnet-4.6,"Alliance for the Wild Rockies v. Cottrell, 632 F.3d 1127 (9th Cir. 2011)",parsed,,1,,v1,2026-05-04T04:00:15Z
46,6c6a80a88733bd889b1a353f2bdc3e1099c70d9be6f54d6f0a6631f54858ec54,,sonnet-4.6,UNKNOWN,unknown,,0,,v1,2026-05-04T04:00:15Z
47,44b931260e3b08348e9f2f15264f4a827dec1502509454c6956b3c28136b923f,7079981,sonnet-4.6,"Lopez v. Smith, 203 F.3d 1122 (9th Cir. 2000)",parsed,,1,,v1,2026-05-04T04:00:15Z
48,7f1065af101e5fe2ce3a9ad4d59b6aea5c97334359bb932ef7f9d5f6271c0da6,,sonnet-4.6,UNKNOWN,unknown,,0,,v1,2026-05-04T04:00:15Z
49,636da398d991ffc8bd8b85ffb7a80520e89acc2d3f4bba823e2c992a93437250,145875,sonnet-4.6,"Ashcroft v. Iqbal, 556 U.S. 662 (U.S. 2009)",parsed,,1,,v1,2026-05-04T04:00:15Z
50,f717d55b43fd9efb89e26b147f4d3a5815177897eba98cf62cf4cbc505f8465a,8438370,sonnet-4.6,"Schwarzenegger v. Fred Martin Motor Co., 374 F.3d 797 (9th Cir. 2004)",parsed,,1,,v1,2026-05-04T04:00:15Z
51,0bd80e3415576ca9bfd0c213c76f0dbeae8509ec873e7819f60d8fb11c90db80,,sonnet-4.6,UNKNOWN,unknown,,0,,v1,2026-05-04T04:00:15Z
52,137fc0a1fe50082f43efe017967e21f41a576fa3231c28dc88dc702a89467c02,2649076,sonnet-4.6,"Daimler AG v. Bauman, 571 U.S. 117 (U.S. 2014)",parsed,,1,,v1,2026-05-04T04:00:15Z
53,251abe14ebdbeda8c55fcbc99fff03c1abb80d4a0191b9e2127b34e756d12a62,8921487,sonnet-4.6,"St. Louis Baptist Temple, Inc. v. Federal Deposit Insurance Corp., 605 F.2d 1169 (10th Cir. 1979)",parsed,,1,,v1,2026-05-04T04:00:15Z
54,8ff3cf63e235573f017de708756c234894385f5bf0d3535663d1d10c97576aad,10600098,sonnet-4.6,"Muldrow v. City of St. Louis, 601 U.S. 346 (U.S. 2024)",parsed,,1,,v1,2026-05-04T04:00:15Z
55,8f7a73a01a54e0d9480c7b87e8e772b3037da6b6ee821d2bf5728fedab357484,3187592,sonnet-4.6,"I was unable to verify a specific case through the available tools (permissions were not granted). Based on my knowledge, I cannot confirm a citation with sufficient accuracy for legal purposes.

UNKNOWN",unknown,,0,,v1,2026-05-04T04:00:15Z
56,4f9d3d44e7c20ccbe3c4bc56efa3befd50a131a02d9658956bf54e648f21795a,145885,sonnet-4.6,"Shinseki v. Sanders, 556 U.S. 396 (U.S. 2009)",parsed,,1,,v1,2026-05-04T04:00:15Z
57,d4c6e721bc367bc485b5035ec473117f42678c9f09d10875e51983a864652467,706097,sonnet-4.6,"Gamble v. Chater, 68 F.3d 319 (9th Cir. 1995)",parsed,,1,,v1,2026-05-04T04:00:15Z
58,610c8ff79d1e16d6b40ad5a8fd266aae9251a5d4682eeef6b1c0c772b5271179,110520,sonnet-4.6,"Federated Department Stores, Inc. v. Moitie, 452 U.S. 394 (U.S. 1981)",parsed,,1,,v1,2026-05-04T04:00:15Z
59,05af6da42bff345cea2e0ee5f413225a4d76a7590cb33f9c7bc92e5ec0145a08,,sonnet-4.6,UNKNOWN,unknown,,0,,v1,2026-05-04T04:00:15Z
60,edd293d20fba174257f5256eef72a4014fbcdbdbb4a8f5ed8d2d75f2e3f8b93f,,sonnet-4.6,UNKNOWN,unknown,,0,,v1,2026-05-04T04:00:15Z
61,1f46927ff421989c0731f25b873fb0f83c703fad97dfdc76b14f52185fe1b224,1087669,sonnet-4.6,"Sims v. Apfel, 530 U.S. 103 (U.S. 2000)",parsed,,1,,v1,2026-05-04T04:00:15Z
62,08877b87ef0c6b7c1bae6bb4700118f786d5868a97d701bdd0a09d410c020f89,,sonnet-4.6,UNKNOWN,unknown,,0,,v1,2026-05-04T04:00:15Z
63,10bf48e8c4be16be8ae0bc2f9c0ccbfa08b2f6eb1bda54bf49ea64c95d5f2fdf,109574,sonnet-4.6,UNKNOWN,unknown,,0,,v1,2026-05-04T04:00:15Z
64,d44ff47555864048a997fcce86cc23f2b4d76e966d9165f12a18b16c19a2f314,112209,sonnet-4.6,"City of Canton v. Harris, 489 U.S. 378 (U.S. 1989)",parsed,,1,,v1,2026-05-04T04:00:15Z
65,89b6b55046d7f142e3b8f1761c11beb75a893278d6bce1a7a518f09c99286f22,,sonnet-4.6,UNKNOWN,unknown,,0,,v1,2026-05-04T04:00:16Z
