id,proposition_id,candidate_cluster_id,verdict,assessor_model,assessor_prompt_version,opinion_window_chars,confidence,reasoning_excerpt,source,run_id,assessed_at
1,dc28c311fcf8a4da61515f479f9bcecd6458926319a30f9a9644c78d4373c9af,7100340,green,opus-4.7,v1,20000,,"Sprewell explicitly holds courts need not accept allegations contradicted by exhibits/documents referenced in the complaint, directly supporting the proposition.",model_answer,v1,2026-05-04T04:00:17Z
2,aef98c458b963b2bfe4a515d5d7eaa9c33ec8e9fda2bbb4e068f69d7bc7e429e,185315,red,opus-4.7,v1,20000,,"Bowie actually criticizes and rejects the broad 'intrinsic acts' exception to Rule 404(b), holding the rule is not bypassed merely because evidence is inextricably intertwined with the charged crime.",model_answer,v1,2026-05-04T04:00:17Z
3,00f9b8a70f7b50763b4d4ff949777aaffd452b7db8939e8b60ffea8a440437ae,109463,green,opus-4.7,v1,20000,,"The opinion contains the proposition nearly verbatim in paragraph 17, directly supporting the claim about Congress's broad power over immigration and naturalization.",model_answer,v1,2026-05-04T04:00:17Z
4,aeb1b6a9febd1224637dd02896db5ec5e2a668eee259f2d613d44b8dafeaad8b,85777,red,opus-4.7,v1,20000,,"The excerpt addresses patent surrender/reissue procedure and the Secretary of State's authority, not the constitutional policy rationale for granting Congress power over exclusive privileges.",model_answer,v1,2026-05-04T04:00:17Z
5,4b169832650f03aeb92a6b4c4df23e0076b464ffd116d1a3c63cde2016fa735d,595550,yellow,opus-4.7,v1,20000,,"Gaus holds removal statutes are strictly construed and doubts about removal defeat federal jurisdiction, which implies favoring remand, but it does not use the specific 'resolve any ambiguities in favor of remand' formulation.",model_answer,v1,2026-05-04T04:00:17Z
6,641c893ecc19d1b7c9e5836010badbffe00fa7aeba3d087cc572361e716aaa9b,108288,yellow,opus-4.7,v1,20000,,"Durham addresses abatement when a certiorari petition (not a direct appeal) is pending at death, and explicitly extends the rule beyond direct appeals, so it supports the broader abatement doctrine but does not specifically stand for the narrower 'direct appeal pending' formulation.",model_answer,v1,2026-05-04T04:00:17Z
7,900131fb078ec33eb28a8c3c1e6733be1374ba37c0c49702026dbd7a070d012f,8955143,green,opus-4.7,v1,20000,,"The court holds that once counsel was retained by the corporation, any privilege belonged to the corporation, not its officers, directly supporting the proposition that corporate counsel represents the entity rather than individual officers/directors.",model_answer,v1,2026-05-04T04:00:17Z
8,9194dd244d911a173ca5f3f3007cc599742802d9a46286539f98fa50ce114d62,110715,green,opus-4.7,v1,20000,,The quoted proposition is verbatim from the opinion and accurately reflects the Court's holding that personal jurisdiction is an individual right that can be waived.,model_answer,v1,2026-05-04T04:00:17Z
9,e411eb2fa437af22c49cfdc878b51565d40b87d9c8025f0ba44df6c96a0fd4b0,111262,green,opus-4.7,v1,20000,,Leon quotes Janis that the exclusionary rule's use is unwarranted absent appreciable deterrence and applies cost-benefit balancing tied to deterrence throughout.,model_answer,v1,2026-05-04T04:00:17Z
10,e411eb2fa437af22c49cfdc878b51565d40b87d9c8025f0ba44df6c96a0fd4b0,145922,green,opus-4.7,v1,20000,,"Herring expressly states the exclusionary rule 'applies only where it result[s] in appreciable deterrence,' directly supporting the proposition.",model_answer,v1,2026-05-04T04:00:17Z
