proposition_id,text,normalized_text,holding_verb,first_seen_run_id,first_seen_at
000568bbc077d1e3f6aba5730a5c1c398d63825eb3a1f42b92a3941c5146538f,"“While there is some variety in the timing and formality required for defendants to express their unanimous consent to removal, each defendant’s consent to removal must be unambiguous and independent.” (footnote omitted)","“while there is some variety in the timing and formality required for defendants to express their unanimous consent to removal, each defendant’s consent to removal must be unambiguous and independent.” (footnote omitted)",,v1-backfill-20260504-040014,2026-05-04T04:00:14Z
00f9b8a70f7b50763b4d4ff949777aaffd452b7db8939e8b60ffea8a440437ae,"“In the exercise of its broad power over naturalization and immigration, Congress regularly makes rules that would be unacceptable if applied to citizens.”","“in the exercise of its broad power over naturalization and immigration, congress regularly makes rules that would be unacceptable if applied to citizens.”",,v1-backfill-20260504-040014,2026-05-04T04:00:14Z
05af6da42bff345cea2e0ee5f413225a4d76a7590cb33f9c7bc92e5ec0145a08,“[T]his court’s review is restricted to points of error and argument specifically raised and discussed in briefs submitted after the administrative transcript is filed.”,“[t]his court’s review is restricted to points of error and argument specifically raised and discussed in briefs submitted after the administrative transcript is filed.”,,v1-backfill-20260504-040014,2026-05-04T04:00:14Z
07db92df19e9d3e32e8c915f72455ba99e244692a23b05681c73f5cfcfc93f1e,explaining that “the limitation the outer surface of said sphere would not require an antecedent recitation that the sphere have an outer surface”,explaining that “the limitation the outer surface of said sphere would not require an antecedent recitation that the sphere have an outer surface”,,v1-backfill-20260504-040014,2026-05-04T04:00:14Z
08877b87ef0c6b7c1bae6bb4700118f786d5868a97d701bdd0a09d410c020f89,“a [p]etitioner must satisfy the Younger abstention hurdles before [a court] may give habeas relief”,“a [p]etitioner must satisfy the younger abstention hurdles before [a court] may give habeas relief”,,v1-backfill-20260504-040014,2026-05-04T04:00:14Z
09f5f700949bcb2e4508f90cfa7066c2e55055d400f5488aae6abc191c8814be,"holding that “[b]y its terms, [TRIA] § 201 does not provide for execution against assets that are not blocked”","holding that “[b]y its terms, [tria] § 201 does not provide for execution against assets that are not blocked”",,v1-backfill-20260504-040014,2026-05-04T04:00:14Z
0bd80e3415576ca9bfd0c213c76f0dbeae8509ec873e7819f60d8fb11c90db80,“ ‘Different theories supporting the 7 same claim for relief must be brought in the initial action.’ [citation omitted] ... Permitting these 8 later-filed claims to proceed would create incentive for plaintiffs to hold back claims and have a 9 second adjudication.”,“ ‘different theories supporting the 7 same claim for relief must be brought in the initial action.’ [citation omitted] ... permitting these 8 later-filed claims to proceed would create incentive for plaintiffs to hold back claims and have a 9 second adjudication.”,,v1-backfill-20260504-040014,2026-05-04T04:00:14Z
0f80531300bb53d210bd372d4d70ab848d63d1caf6edd4f52ad8fa2a6adbc7d4,"stating that “[f]ederal law 27 determines when a cause of action for a Section 1983 claim accrues and, hence, when the statute 1 knows or has reason to know of the injury that is the basis of the action.” Belanus v. Clark, 796 2 F.3d 1021, 1025 (9th Cir. 2015","stating that “[f]ederal law 27 determines when a cause of action for a section 1983 claim accrues and, hence, when the statute 1 knows or has reason to know of the injury that is the basis of the action.” belanus v. clark, 796 2 f.3d 1021, 1025 (9th cir. 2015",,v1-backfill-20260504-040014,2026-05-04T04:00:14Z
0f97470370d9854804525561c8e410b733d3712ba1d50e4641b4c4e6d2b7b695,"“Without such a showing [that the claimant’s symptoms wax and wane], the claimant’s ability to maintain employment is subsumed in the RFC determination.”","“without such a showing [that the claimant’s symptoms wax and wane], the claimant’s ability to maintain employment is subsumed in the rfc determination.”",,v1-backfill-20260504-040014,2026-05-04T04:00:15Z
0fe77db256520d14bd1b90fd69f66c9c49271224900c7d47cffbd4b793119e2b,"explaining that the definiteness “requirement is not a demand for unreasonable precision” and that “verbal precision” in every case is not possible “in a patent system that actually works, in practice”","explaining that the definiteness “requirement is not a demand for unreasonable precision” and that “verbal precision” in every case is not possible “in a patent system that actually works, in practice”",,v1-backfill-20260504-040014,2026-05-04T04:00:14Z
102ea8dd8dab275da19d5c94b68ead58edbb474095990bbd6ee42c594f26ddfb,"stating that when a state prisoner does not seek direct review, the conviction becomes final for purposes of § 2244 at “the expiration of the time for seeking such review”","stating that when a state prisoner does not seek direct review, the conviction becomes final for purposes of § 2244 at “the expiration of the time for seeking such review”",,v1-backfill-20260504-040014,2026-05-04T04:00:14Z
