bucket,citation,status,conf,winning_stage,matched_name,url,item_text,detail
A_lookup_resolved_name_matched,"(La. App. 4 Cir. 10/30/13), 127 So.3d 156",VERIFIED,1.0,citation_lookup,,https://www.courtlistener.com/opinion/4996210/state-v-duplantis/,"Counsel cited Harvey v. Harvey, 13-0253 (La. App. 4 Cir. 10/30/13), 127 So.3d 156, which the Court and Respondent were unable to locate; counsel removed the cit",
A_lookup_resolved_name_matched,"Lampe v. Genuine Parts Co., 463 F. Supp. 2d 928, 934 (E.D. Wis. 2006)",VERIFIED,1.0,citation_lookup,,https://www.courtlistener.com/opinion/2319555/lampe-v-genuine-parts-co/,"Plaintiffs cited 'Doe v. United States, 463 F. Supp. 2d 934 (N.D. Iowa 2006)'; court found Lampe v. Genuine Parts Co., 463 F. Supp. 2d 928, 934 (E.D. Wis. 2006)",
A_lookup_resolved_name_matched,"In re Amica Mut. Ins. Co., 85 A.D.3d 1510 (3rd Dept. 2011)",VERIFIED_PARTIAL,1.0,citation_lookup,,https://www.courtlistener.com/opinion/5968437/leto-v-amrex-chemical-co/,"Opposing party identified 'In re Amica Mut. Ins. Co., 85 A.D.3d 1510 (3rd Dept. 2011)' as a nonexistent case; court treated it as an AI-generated fabricated cit",
A_lookup_resolved_name_matched,"Tubra v. Cooke, 233 Or App 339, 225 P3d 862 (2010)",VERIFIED,1.0,citation_lookup,,https://www.courtlistener.com/opinion/2538939/tubra-v-cooke/,"Brief cited 'Tubra v. Cooke, 233 Or App 339, 225 P3d 862 (2010)' for an anti‑SLAPP proposition; court found the cited case does not exist.",
A_lookup_resolved_name_matched,"Colón v. Romero Barceló, 112 DPR 573 (1982)",VERIFIED,1.0,citation_lookup,,https://www.courtlistener.com/opinion/8587166/colon-v-romero-barcelo/,"Promovidas cited 'Colón v. Romero Barceló, 112 DPR 573 (1982)' and ascribed a direct quotation regarding Artículo 1802 which the Court found did not appear as q",
A_lookup_resolved_name_matched,"(In re Delta-T Corp.), 475 B.R. 495 (Bankr. E.D. Va. 2012)",VERIFIED,1.0,citation_lookup,,https://www.courtlistener.com/opinion/8522445/swanson-v-applied-process-technology-interna,"Debtors cited ""In re Steward, 475 B.R. 518 (Bankr. E.D. Mo. 2012)""; court's search retrieved Swanson v. Applied Process Technology Int'l, LLC (In re Delta-T Cor",
A_lookup_resolved_name_matched,"In re SunEdison, Inc. Sec. Litig., 314 F.R.D. 139, 143 (S.D.N.Y. 2016)",VERIFIED_PARTIAL,1.0,citation_lookup,,https://www.courtlistener.com/opinion/8791223/wal-mart-stores-inc-v-city-of-pontiac-genera,"Defendant cited ""In re SunEdison, Inc. Sec. Litig., 314 F.R.D. 139, 143 (S.D.N.Y. 2016)""; the court could not locate the case or quoted text on docket or Westla",
A_lookup_resolved_name_matched,"Kidd v. Mando Am. Corp., 731 F.3d 1196, 1200 (11th Cir. 2013)",VERIFIED,1.0,citation_lookup,,https://www.courtlistener.com/opinion/3045202/leanne-renee-kidd-v-mando-american-corporati,"Plaintiff's response (doc. 43 at 23) purports to quote and cite 'Kidd v. Mando Am. Corp., 731 F.3d 1196, 1200 (11th Cir. 2013)', which Defendants and the court ",
A_lookup_resolved_name_matched,"Inc. v. United States, 12 Cl. Ct. 33 (1987)",VERIFIED,1.0,caption_investigation,,https://www.courtlistener.com/opinion/6929481/johns-manville-corp-v-united-states/,"Cited a nonexistent decision, ""BMS, Inc. v. United States, 12 Cl. Ct. 33 (1987)""; Board found the case does not exist and that the nearby reporter citation corr",
A_lookup_resolved_name_matched,"Waitz, 255 Ga. 474 (1986)",VERIFIED,1.0,citation_lookup,,https://www.courtlistener.com/opinion/1237823/nelms-v-state/,"Appellant's brief cited In re Waitz, 255 Ga. 474 (1986), which the court identified as another nonexistent authority in the brief.",
